Airport_Name,Most_Frequent_Reason,Number_Of_Cancellations
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Carrier,1
"Spokane, WA: Spokane International",Carrier,1
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Carrier,1
"Eugene, OR: Mahlon Sweet Field",Weather,1
"Fort Smith, AR: Fort Smith Regional","National Air System",1
"Lubbock, TX: Lubbock Preston Smith International","National Air System",1
"Monroe, LA: Monroe Regional","National Air System",1
"Monroe, LA: Monroe Regional",Carrier,1
"Corpus Christi, TX: Corpus Christi International","National Air System",1
"Amarillo, TX: Rick Husband Amarillo International","National Air System",1
"Abilene, TX: Abilene Regional","National Air System",1
"Augusta, GA: Augusta Regional at Bush Field",Weather,1
"Akron, OH: Akron-Canton Regional",Weather,1
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",Carrier,1
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",Weather,1
"Huntsville, AL: Huntsville International-Carl T Jones Field",Weather,1
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Weather,1
"Daytona Beach, FL: Daytona Beach International",Weather,1
"Jamestown, ND: Jamestown Regional","National Air System",1
"Devils Lake, ND: Devils Lake Regional","National Air System",1
"Liberal, KS: Liberal Mid-America Regional",Carrier,1
"Longview, TX: East Texas Regional",Weather,1
"Alexandria, LA: Alexandria International",Weather,1
"College Station/Bryan, TX: Easterwood Field",Weather,1
"North Platte, NE: North Platte Regional Airport Lee Bird Field",Weather,1
"Durango, CO: Durango La Plata County","National Air System",1
"Hayden, CO: Yampa Valley","National Air System",1
"Fort Dodge, IA: Fort Dodge Regional",Carrier,1
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,1
"Garden City, KS: Garden City Regional",Weather,1
"Lake Charles, LA: Lake Charles Regional",Weather,1
"Idaho Falls, ID: Idaho Falls Regional",Weather,1
"Grand Island, NE: Central Nebraska Regional",Carrier,1
"Eagle, CO: Eagle County Regional",Weather,1
"Corpus Christi, TX: Corpus Christi International",Weather,1
"Jackson, WY: Jackson Hole",Weather,1
"Bozeman, MT: Bozeman Yellowstone International",Carrier,1
"Boise, ID: Boise Air Terminal","National Air System",1
"Amarillo, TX: Rick Husband Amarillo International",Carrier,1
"Boise, ID: Boise Air Terminal",Weather,1
"Panama City, FL: Northwest Florida Beaches International","National Air System",1
"Stockton, CA: Stockton Metropolitan",Weather,1
"Sanford, FL: Orlando Sanford International","National Air System",1
"Sanford, FL: Orlando Sanford International",Weather,1
"St. Petersburg, FL: St Pete Clearwater International",Weather,1
"Tucson, AZ: Tucson International","National Air System",1
"Bristol/Johnson City/Kingsport, TN: Tri Cities","National Air System",1
"Charlotte Amalie, VI: Cyril E King",Carrier,1
"Tallahassee, FL: Tallahassee International",Weather,1
"Salina, KS: Salina Regional",Carrier,1
"West Yellowstone, MT: Yellowstone",Weather,1
"Stillwater, OK: Stillwater Regional",Weather,1
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,1
"Riverton/Lander, WY: Riverton Regional",Weather,1
"Palm Springs, CA: Palm Springs International",Weather,1
"Tyler, TX: Tyler Pounds Regional",Weather,1
"San Luis Obispo, CA: San Luis County Regional",Weather,1
"Palm Springs, CA: Palm Springs International",Carrier,1
